[2018-01-01 00:27:26] --- BALL preview start ---
[2018-01-01 00:27:28] K230 BALL preview started: cv_lite circle detection
[2018-01-01 00:28:24] ball: center_px=160 center_px_avg=160.0177 reference_px=160 x_mm=0.00 valid=1 fps=48.5
[2018-01-01 00:28:25] ball: center_px=158 center_px_avg=159.7619 reference_px=160 x_mm=-1.00 valid=1 fps=48.3
[2018-01-01 00:28:25] ball: center_px=160 center_px_avg=160.0989 reference_px=160 x_mm=0.00 valid=1 fps=48.4
[2018-01-01 00:28:26] ball: center_px=160 center_px_avg=160.5763 reference_px=160 x_mm=0.00 valid=1 fps=48.5
[2018-01-01 00:28:27] ball: center_px=160 center_px_avg=159.8027 reference_px=160 x_mm=0.00 valid=1 fps=48.6
[2018-01-01 00:28:27] ball: center_px=160 center_px_avg=160.0172 reference_px=160 x_mm=0.00 valid=1 fps=48.4
[2018-01-01 00:28:28] ball: center_px=160 center_px_avg=160.1093 reference_px=160 x_mm=0.00 valid=1 fps=48.5
[2018-01-01 00:28:28] ball: center_px=160 center_px_avg=160.0112 reference_px=160 x_mm=0.00 valid=1 fps=48.7
[2018-01-01 00:28:29] ball: center_px=160 center_px_avg=160.0 reference_px=160 x_mm=0.00 valid=1 fps=48.8
[2018-01-01 00:28:30] ball: center_px=158 center_px_avg=158.5097 reference_px=160 x_mm=-1.00 valid=1 fps=48.8
[2018-01-01 00:28:30] ball: center_px=158 center_px_avg=158.3499 reference_px=160 x_mm=-1.00 valid=1 fps=49.4
[2018-01-01 00:28:31] ball: center_px=None center_px_avg=158.0 reference_px=160 x_mm=-1.00 valid=0 fps=49.5
[2018-01-01 00:28:32] ball: center_px=160 center_px_avg=160.0 reference_px=160 x_mm=0.00 valid=0 fps=51.1
[2018-01-01 00:28:33] --- BALL preview stop ---
